#all the chains in dimers of trans212
#generated by extractDimers.pl

1wq1	G:R
1fle	E:I
2prg	B:C
1h59	A:B
1fbv	A:C
1c4z	A:D
1tmq	A:B
1bkd	R:S
1evt	A:C
3c98	A:B
1xdt	R:T
1t7p	A:B
1zbd	A:B
1go4	A:G
1i85	B:D
1kxt	A:B
1jma	A:B
1kac	A:B
1sbb	A:B
1bzq	A:L
1gc1	C:G
1bdj	A:B
1eay	A:C
1kmi	Y:Z
7cei	A:B
1clv	A:I
1ava	A:C
1dhk	A:B
1bvn	P:T
1l6x	A:B
1f34	A:B
1dpj	A:B
1jw9	B:D
1jtg	A:B
1jtd	A:B
1d5x	A:C
1i4e	A:B
1kyo	O:W
2mta	A:C
2pcc	A:B
1f3v	A:B
1eja	A:B
1lpb	A:B
1dtd	A:B
1eer	A:B
1ibr	A:B
1i7w	A:B
1f60	A:B
1itb	A:B
1ay7	A:B
4sgb	E:I
1dev	A:B
1smf	E:I
1dfj	E:I
1k90	A:D
1g4y	B:R
1e6e	A:B
1gaq	A:B
1f80	A:E
1buv	M:T
1stf	E:I
2tec	E:I
1acb	E:I
1e96	A:B
1qav	A:B
1f02	I:T
1tab	E:I
2ptc	E:I
1gl1	A:I
1cgi	E:I
1eai	A:C
1avx	A:B
1bml	A:C
2btc	E:I
1gh6	A:B
1agr	A:E
1avz	B:C
1aro	L:P
1awc	A:B
1fqj	A:C
1ak4	A:D
1kxp	A:D
1d4x	A:G
2btf	A:P
1hx1	A:B
1atn	A:D
1fq1	A:B
1fin	A:B
1b6c	A:B
1bi8	A:B
1buh	A:B
1ugh	E:I
1jiw	I:P
1noc	A:B
1k5d	A:C
1cmx	A:B
1euv	A:B
1he1	A:C
1m10	A:B
1ghq	A:B
1gxd	A:C
1kzy	A:C
1ycs	A:B
1gla	F:G
1cxz	A:B
2sic	E:I
1lb1	A:B
1doa	A:B
1gp2	A:B
1g0y	I:R
1k5d	A:B
1mah	A:F
1gcq	B:C
1i2m	A:B
1kgy	A:E
1c1y	A:B
1gl4	A:B
1d2z	A:B
3ygs	C:P
1grn	A:B
1ki1	A:B
1efu	A:B
3sgb	E:I
1fqv	A:B
1m4u	A:L
1mbu	A:C
1fc2	C:D
1ml0	A:D
1o6s	A:B
1h2k	A:S
1m1e	A:B
1nf5	A:B
1gzs	A:B
1nbf	A:D
1mr1	A:D
#There are 135 dimers in the input file : ../data/trans208/trans212.txt.
